Player,Year,Quarter,Min,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,
K. Durant,2010,4,1,OKC,21,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,0,,,
K. Durant,2010,4,0.5,OKC,21,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
K. Durant,2019,OT1,5,GSW,30,1,0,1,4,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-11,,,
K. Durant,2019,OT1,4,GSW,30,1,0,1,3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-10,,,
K. Durant,2019,OT1,3,GSW,30,1,0,1,3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-7,,,
K. Durant,2019,OT1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Durant,2019,OT1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Durant,2019,OT1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Durant,2014,OT1,5,OKC,25,5,1,4,14,10,3,7,42.9,0,3,0,4,6,66.7,1,0,1,0,2,0,0,1,9.2,3,0,-10,,,
K. Durant,2014,OT1,4,OKC,25,5,1,4,10,4,0,4,0,0,3,0,4,6,66.7,0,0,0,0,1,0,0,1,3,3,0,-10,,,
